,conference_year,category,title,author,abstract,download_url,keywords
0,1994,Art,"Criticism, Culture, and the Automatic Generation of Artworks","Lee Spector, Adam Alpern","Researchers wishing to create computational systems that themselves generate artworks face two interacting challenges. The first is that the standards by which artistic output is judged are notoriously difficult to quantify. The larger AI community is currently involved in a rich internal dialogue on methodological issues, standards, and rigor, and hence murkiness with regard to the assessment of output must be faced squarely. The second challenge is that any artwork exists within an extraordinarily rich cultural and historical context, and it is rare that an artist who is ignorant of this context will produce acceptable works. In this paper we assert that these considerations argue for case-based AI/Art systems that take critical criteria as parameters. We describe an example system that produces new bebop jazz melodies from a case-base of melodies, using genetic programming techniques and a fitness function based on user-provided critical criteria. We discuss the role that such techniques may play in future work on AI and the arts.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-001.pdf,
1,1994,Believable Agents,Research Problems in the Use of a Shallow Artificial Intelligence Model of Personality and Emotion,Clark Elliott,"This paper presents an overview of some open research problems in the representation of emotion on computers. The issues discussed arise in the context of a broad, albeit shallow, emotion reasoning platform based originally on the ideas of Ortony, Clore, and Collins(Ortony, Clore, and Collins 1988). In addressing these problems we hope to (1) correct and expand our content theory of emotion, and pseudo personality, which underlies all aspects of the research; (2) answer feasibility questions regarding a usable representation of the emotion domain in the computer, and (3) build agents capable of emotional interaction with users. A brief description of a semantics-based AI program, the Aflectiue Reasoner, and its recent multi-media extensions is given. Issues pertaining to affective user modeling, an expert system on emotion eliciting situations, the building of a sympathetic computer, models of relationship, personality in games, and the motivation behind the study of emotion on computers are discussed. References to the current literature and recent workshops are made.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-002.pdf,
2,1994,Believable Agents,"ChatterBots, TinyMuds, and the Turing Test: Entering the Loebner Prize Competition",Michael L. Mauldin,"The Turing Test was proposed by Alan Turing in 1950; he called it the Imitation Game. In 1991 Hugh Loebner started the Loebner prize competition, offering a 100,000 prize to the author of the first computer program to pass an unrestricted Turing test. Annual competitions are held each year with smaller prizes for the best program on a restricted Turing test. This paper describes the development of one such Turing System, including the technical design of the program and its performance on the first three Loebner Prize competitions. We also discuss the program’s four year development effort, which has depended heavily on constant interaction with people on the Internet via Tinymuds (multiuser network communication servers). Finally, we discuss the design of the Loebner competition itself, and address its usefulness in furthering the development of Artificial Intelligence.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-003.pdf,
3,1994,Believable Agents,Social Interaction: Multimodal Conversation with Social Agents,"Katashi Nagao, Akikazu Takeuchi","We present a new approach to human-computer interaction, called social interaction. Its main characteristics are summarized by the following three points. First, interactions are realized as multimodal (verbal and nonverbal) conversation using spoken language, facial expressions, and so on. Second, the conversants are a group of humans and social agents that are autonomous and social. Autonomy is an important property that allows agents to decide how to act in an ever-changing environment. Socialness is also an important property that allows agents to behave both cooperatively and collaboratively. Generally, conversation is a joint work and ill-structured. Its participants are required to be social as well as autonomous. Third, conversants often encounter communication mismatches (misunderstanding others’ intentions and beliefs) and fail to achieve their joint goals. The social agents, therefore, are always concerned with detecting communication mismatches. We realize a social agent that hears human-to-human conversation and informs what is causing the misunderstanding. It can also interact with humans by voice with facial displays and head (and eye) movement.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-004.pdf,
4,1994,Case-Based Reasoning,Experience-Aided Diagnosis for Complex Devices,"Michel P. Féret, Janice I. Glasgow","This paper presents a novel approach to diagnosis which addresses the two problems - computational complexity of abduction and device models - that have prevented model-based diagnostic techniques from being widely used. The Experience-Aided Diagnosis (EAD) model is defined that combines deduction to rule out hypotheses, abduction to generate hypotheses and induction to recall past experiences and account for potential errors in the device models. A detailed analysis of the relationship between case-based reasoning and induction is also provided. The EAD model yields a practical method for solving hard diagnostic problems and provides a theoretical basis for overcoming the problem of partially incorrect device models.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-005.pdf,
5,1994,Case-Based Reasoning,Heuristic Harvesting of Information for Case-Based Argument,"Edwina L. Rissland, David B. Skalak, M. Timur Friedman","The BankXX system models the process of perusing and gathering information for argument as a heuristic best-first search for relevant cases, theories, and other domain-specific information. As BankXX searches its heterogeneous and highly interconnected network of domain knowledge, information is incrementally analyzed and amalgamated into a dozen desirable ingredients for argument (called argument pieces), such as citations to cases, applications of legal theories, and references to prototypical factual scenarios. At the conclusion of the search, BankXX outputs the set of argument pieces filled with harvested material relevant to the input problem situation. This research explores the appropriateness of the search paradigm as a framework for harvesting and mining information needed to make legal arguments. We discuss how we tackled the problem of evaluation of BankXX from both the case-based reasoning (CBR) and task-performance perspectives. In particular, we discuss how various system parameters- start node, evaluation function, resource limit-affected BankXX from the CBR perspective and how well BankXX performs its assigned task of gathering information useful for legal argumentation by running BankXX on real legal cases and comparing its output with the published court opinions for those cases.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-006.pdf,
6,1994,Case-Based Reasoning,Case-Based Acquisition of User Preferences for Solution Improvement in Ill-Structured Domains,"Katia Sycara, Kazuo Miyashita","We have developed an approach to acquire complicated user optimization criteria and use them to guide iterative solution improvement. The effectiveness of the approach was tested on job shop scheduling problems. The ill-structuredness of the domain and the desired optimization objectives in real-life problems, such as factory scheduling, makes the problems difficult to formalize and costly to solve. Current optimization technology requires explicit global optimization criteria in order to control its search for the optimal solution. But often, a user’s optimization preferences are state-dependent and cannot be expressed in terms of a single global optimization criterion. In our approach, the optimization preferences are represented implicitly and extensionally in a case base. Experimental results in job shop scheduling problems support the hypotheses that our approach (1) is capable of capturing diverse user optimization preferences and re-using them to guide solution quality improvement, (2) is robust in the sense that it improves solution quality independent of the method of initial solution generation, and (3) produces high quality solutions, which are comparable with solutions generated by traditional iterative optimization techniques, such as simulated annealing, at much lower computational cost.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-007.pdf,
7,1994,Case-Based Reasoning,Towards More Creative Case-Based Design Systems,"Linda M. Wills, Janet L. Kolodner","Case-based reasoning (CBR) has a great deal to offer in supporting creative design, particularly processes that rely heavily on previous design experience, such as framing the problem and evaluating design alternatives. However, most existing CBR systems are not living up to their potential. They tend to adapt and reuse old solutions in routine ways, producing robust but uninspired results. Little research effort has been directed towards the kinds of situation assessment, evaluation, and assimilation processes that facilitate the exploration of ideas and the elaboration and redefinition of problems that are crucial to creative design. Also, their typically rigid control structures do not facilitate the kinds of strategic control and opportunism inherent in creative reasoning. In this paper, we describe the types of behavior we would like case-based design systems to support, based on a study of designers working on a mechanical engineering problem. We show how the standard CBR framework should be extended and we describe an architecture we are developing to experiment with these ideas.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-008.pdf,
8,1994,Case-Based Reasoning,Retrieving Semantically Distant Analogies with Knowledge-Directed Spreading Activation,"Michael Wolverton, Barbara Hayes-Roth","Techniques that traditionally have been useful for retrieving same-domain analogies from small single-use knowledge bases, such as spreading activation and indexing on selected features, are inadequate for retrieving cross-domain analogies from large multi-use knowledge bases. In this paper, we describe Knowledge-Directed Spreading Activation (KDSA), a new method for retrieving analogies in a large semantic network. KDSA uses task-specific knowledge to guide a spreading activation search to a case or concept in memory that meets a desired similarity condition. Specifically, KDSA exploits evaluations of near-analogies encountered during the search to direct the search toward progressively more promising analogies. We describe a specific instantiation of this method for the task of innovative design, and we summarize the theoretical and experimental results used to validate KDSA.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-009.pdf,
9,1994,Cognitive Modeling,A Reading Agent,"Tamitha Carpenter, Richard Alterman","Recent work in agency has explored the interactive nature of goal-driven behavior (""activity""). An interactive agent is responsive to events and is affected by and effects the context in which it exists. Our contention is that interaction is also an important characteristic of a reader. By treating reading as an activity, the reading agent can interact with the text, achieving goals and planning what to read, when to read, and how to read. This paper will discuss how reading within a context of activity provides goals and enables planning, thus creating the reading agent. The system described, SPRITe, reads natural language, primarily instructions, in order to facilitate other activities.",https://aaai.org/Library/AAAI/1994/../../../Papers/AAAI/1994/AAAI94-010.pdf,
