,conference_year,category,title,author,abstract,download_url,keywords
0,1982,Vision,The Role of Eye Position Information in Algorithms for Stereoscopic Matching,K. Prazdny,The viewing system parameters probably have to be explicitly taken into consideration in formulating computational solutions to the stereoscopic matching problem in binocular vision. An algorithm for computing the directions of gaze from purely visual information without a prior solution to the correspondence problem is outlined. It would seem that the availability of such (or similar) algorithm is a precondition for any stereo matching process using the epipolar constraint.,https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-001.pdf,
1,1982,Vision,Representing Smooth Plane Curves for Recognition: Implications for Figure-Ground Reversal,"D. D. Hoffman, W. A. Richards","A representation of smooth plane curves for recognition is proposed. The basic representation is a linked list of four primitive shapes, called ""codons,"" which are invariant under rotations, translations and uniform scaling. Psychophysical observations regarding the perception of figure- ground reversals are presented to suggest that a similar representation could be used by the human visual system.",https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-002.pdf,
2,1982,Vision,Why Perspective Is Difficult: How Two Algorithms Fail,John R. Kender,"Attempting to derive image algorithms solely under orthographic projection is deceptively easy. However, orthographic algorithms often fail when applied to the perspective case. More critically, since many things simplify under orthography, such algorithms often give no evidence for their proper extension. This paper gives two such examples, showing both the problems that arise for them under perspective, and the surprising extensions that they require.",https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-003.pdf,
3,1982,Vision,Tracking Known Three-Dimensional Objects,Donald B. Gennery,"A method of visually tracking a known three-dimensional object is described. Predicted object position and orientation extrapolated from previous tracking data are used to find known features in one or more pictures. The measured image positions of the features are used to adjust the estimates of object position, orientation, velocity, and angular velocity in three dimensions. Filtering over time is included as an integral part of the adjustment, so that the filtering both smooths as appropriate to the measurements and allows stereo depth information to be obtained from multiple cameras taking pictures of a moving object at different times.",https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-004.pdf,
4,1982,Vision,A Model Based Vision System for Recognition of Machine Parts,"Katsushi Ikeuchi, Yoshiaki Shirai",This paper describes a vision system based on the photometric stereo system and a model generator called GEOMAP. The photometric stereo system obtains a needle map from shading information of an observed image. An extended Gaussian image of the needle map reduces possible attitudes of an object relative to the viewer. A model-generator called GEOMAP generates a needle map which would be observed from the viewer direction determined from EGI. Comparing the needle map by the GEOMAP with the needle map by the photometric stereo system makes final recognition of the object.,https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-005.pdf,
5,1982,Vision,Local Computation of Shape,Alex Paul Pentland,"Local, parallel analysis of shading in an image may be used to infer surface shape without o priori knowledge about the viewed scene. The following has been proven: Given a reason- able assumption about surface smoothness, local analysis of the second derivative of image intensity allows the image-plane com- ponent of surface orientation to be determined exactly, and a maximum-likelihood estimate of the remaining depth component of orientation to be made. An algorithm has been developed to compute surface orientation, in parallel, for each image point without knowledge of scene characteristics. This algorithm has been evaluated on both natural and synthesized images, and produces a good estimate of shape.",https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-006.pdf,
6,1982,Vision,Edge Detection in Optical Flow Fields,"William B. Thompson, Kathleen M. Mutch, Valdis Berzins","Optical flow is potentially valuable as a source of spatial information. Current techniques provide flow fields which are noisy and sparse, making the recovery of spatial proper ties difficult at best. This paper describes a technique for locating discontinuities in optical flow, which typically correspond to object boundaries. A simple blurring interpolator is used to smooth out noise and produce denser fields. Discontinuities are found by locating the vector field equivalent of zero crossings in the Laplacian of a scalar field. The technique is illustrated by applying it to realistic vector fields which are both noisy and sparse.",https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-007.pdf,
7,1982,Vision,Modeling and Using Physical Constraints in Scene Analysis,"M. A. Fischler, S. T. Barnard, R. C. Bolles, M. Lowry, L. Quam, G. Smith, A. Witkin","This paper describes the results obtained in a research program ultimately concerned with deriving a physical sketch of a scene from one or more images. Our approach involves modeling physically meaningful information that can be used to constrain the interpretation process, as well as modeling the actual scene content. In particular, we address the problems of modeling the imaging process (camera and illumination), the scene geometry (edge classification and surface reconstruction), and elements of scene content (material composition and skyline delineation).",https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-008.pdf,
8,1982,Vision,Intensity-Based Edge Classification,Andrew P. Witkin,"A new intensity-based approach to the classification of edges was developed and implemented. Using basic continuity and independence properties of scenes and images, signatures were deduced for each of several edge types expressed in terms of correlational properties of the image intensities in the neighborhood of the edge. This procedure’s ability to discriminate occluding contours from cast shadow boundaries was demonstrated for cases where line junction cues are absent from the image.",https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-009.pdf,
9,1982,Vision,Segmentation of Images Into Regions Using Edge Information,Gerard G. Medioni,"A method for segmentation aerial images using edge information to create regions of similar or smoothly varying intensity is discussed. Region segmentation using edges directly as input cannot be successful because boundaries are seldom perfectly closed. In the present method, we preprocess the edge image to close gaps and create a binary image from which we extract the connected regions. We compare the results obtained with this method and a traditional region-splitting method for 2 different views of an aerial scene.",https://aaai.org/Library/AAAI/1982/../../../Papers/AAAI/1982/AAAI82-010.pdf,
