measuring and mitigating unintended bias in text classification	introduce illustrate new approach measuring mitigating unintended bias machine learning models definition unintended bias parameterized test set subset input features illustrate used evaluate text classifiers using synthetic test set public corpus comments annotated toxicity wikipedia talk pages also demonstrate imbalances training data lead unintended bias resulting models therefore potentially unfair applications use set common demographic identity terms subset input features measure bias technique permits analysis common scenario demographic information authors readers unavailable bias mitigation must focus content text mitigation method introduce unsupervised approach based balancing training dataset demonstrate approach reduces unintended bias without compromising overall model quality	negative
value alignment, fair play, and the rights of service robots	ethics safety research artificial intelligence increasingly framed terms `` alignment '' human values interests argue turing 's call `` fair play machines '' early often overlooked contribution alignment literature turing 's appeal fair play suggests need correct human behavior accommodate machines surprising inversion value alignment treated today reflections `` fair play '' motivate novel interpretation turing 's notorious `` imitation game '' condition intelligence instead value alignment machine demonstrates minimal degree alignment norms conversation instance go undetected interrogated human carefully distinguish interpretation moral turing test motivated principle fair play instead depends imitation human moral behavior finally consider framework fair play used situate debate robot rights within alignment literature argue extending rights service robots operating public spaces `` fair '' precisely sense encourages alignment interests humans machines	negative
regulating artificial intelligence: proposal for a global solution	given ubiquity artificial intelligence ai modern societies clear individuals corporations countries grappling legal ethical issues use global problems require global solutions propose establishment international ai regulatory agency -- drawing interdisciplinary expertise -- could create unified framework regulation ai technologies inform development ai policies around world urge organization developed deliberate haste issues cryptocurrencies personalized political ad hacking autonomous vehicles autonomous weaponized agents already reality affecting international trade politics war	positive
using education as a model to capture good-faith effort for autonomous systems	multiprocess environments comprising several intercommunicating lisp systems straightforward implement due certain fundamental characteristics lisp language experiences four methods establishing necessary communications linkages described features lisp support experimentation interprocess communication identified two key characteristics language important regard 1. lisp programs construct interpret new code run 2. structures within lisp systems accessible name flexible communication methods use ordinary lisp input output functions supplemented small amount system-dependent code create communication linkages treated lisp file structures	negative
exploiting moral values to choose the right norms	norms constitute regulative mechanisms extensively enacted groups organisations societies however 'choosing right norms establish constitutes open problem requires consideration number constraints norm relations preference criteria e.g involved moral values paper advances state art normative multiagent systems literature formally defining problem proposing encoding linear program automatically solved	negative
 software malpractice in the age of ai: a guide for the wary tech company	professional malpractice concept heightened duties entrusted special knowledge crucial tasks rooted history yet since dawn computer age courts united states almost universally rejected theory software malpractice declining hold software engineers professional standards doctors lawyers engineers changing however speed software based artificial intelligence technologies replacing professionals already subject professional liability society already decided cases millennia ago tasks warrant special accountability new analysis human closest line adverse event ai expands pressure courts go one level causal chain search human agency professional accountability mount essay analyzes case law rejecting software malpractice clues doctrine might go age ai discusses technology companies learn safety enhancements doctors lawyers historic professionals adapted heightened legal scrutiny years	positive
non-discriminatory machine learning through convex fairness criteria	introduce novel technique achieve non-discrimination machine learning without sacrificing convexity probabilistic interpretation also propose new notion fairness machine learning called weighted proportional fairness show technique satisfies subjective fairness criterion	negative
 fair forests: regularized tree induction to minimize model bias	potential lack fairness outputs machine learning algorithms recently gained attention within research community well society broadly surprisingly prior work developing tree-induction algorithms building fair decision trees fair random forests methods widespread popularity one simultaneously interpretable non-linear easy-to-use paper develop knowledge first technique induction fair decision trees.we show `` fair forest '' retains benefits tree-based approach providing greater accuracy fairness alternatives `` group fairness '' `` individual fairness '' also introduce new measures fairness able handle multinomial continues attributes well regression problems opposed binary attributes labels finally demonstrate new robust evaluation procedure algorithms considers dataset entirety rather specific protected attribute	positive
 a framework for grounding the moral status of intelligent machines	propose framework derived moral theory assessing moral status intelligent machines using framework claim current foreseeable intelligent machines approximately much moral status plants trees environmental entities claim raises question obligations could moral agent e.g. normal adult human toward intelligent machine propose threshold moral obligation `` functional morality '' wallach allen 20 upper limit obligations exceed upper limit obligations toward plants trees environmental entities	positive
rethinking ai strategy and policy as entangled super wicked problems	paper attempts preliminary analysis general approach ai strategy/policy research lens wicked problems literature wicked problems class social policy problems traditional methods resolution fail super wicked problems refer even complex social policy problems e.g climate change first propose hierarchy three classes ai strategy/policy problems wicked super wicked problems next identify three independent super wicked problems ai strategy/policy propose significant challenges development safe beneficial artificial general intelligence significantly complex nuanced thus posing new degree 'wickedness explore analysis techniques addressing wicked problems super wicked problems leads discussion implications ideas problems ai strategy/policy	positive
an agile ethical/legal model for the international and national governance of ai and robotics	developing software complex mental activity requiring extensive technical knowledge abstraction capabilities tangible part development use tools read inspect edit manipulate source code usually ide integrated development environment common claims software development include program comprehension takes half time developer certain ui user interface paradigms ides offer insufficient support developers claims often based anecdotal evidence throwing question whether corroborated solid grounds present in-depth analysis developers spend time based fine-grained ide interaction dataset consisting ca 740 development sessions 18 developers amounting 200 hours development time 5 million ide events propose inference model development activities precisely measure time spent editing navigating searching artifacts interacting ui ide performing corollary activities inspection debugging report several interesting findings part confirm reinforce common claims also disconfirm beliefs software development	negative
incorrigibility in the cirl framework	value learning system incentives follow shutdown instructions assuming shutdown instruction provides information technical sense actions lead valuable outcomes however assumption robust model mis-specification e.g. case programmer errors demonstrate presenting supervised pomdp scenarios errors parameterized reward function remove incentive follow shutdown commands difficulties parallel discussed soares et al 2015 paper corrigibility argue important consider systems follow shutdown commands weaker set assumptions e.g. one small verified module correctly implemented opposed entire prior probability distribution and/or parameterized reward function discuss difficulties simple ways attempt attain sorts guarantees value learning framework	negative
when do people want ai to make decisions?	ai systems soon sophisticated enough make consequential decisions although technology flourished also need public appraisals ai systems playing important roles article reports surveys preferences ai systems making decisions various domains well experiments intervene preferences find preferences contingent subjects previous exposure computer systems making kinds decisions interventions designed mimic previous exposure successfully encourage subjects hospitable computer systems making weighty decisions	negative
toward non-intuition-based machine ethics	propose deontological approach machine ai ethics avoids weaknesses intuition-based system anderson anderson particular need deal conflicting intuitions yields satisfactory account autonomy respected begin `` dual standpoint '' theory action regards actions grounded reasons therefore conditional form suited machine instructions derive ethical principles based formal properties reasons must exhibit coherent formulate principles using quantified modal logic conclude deontology provides satisfactory basis machine ethics endows machine ability explain actions thus contributing transparency ai	positive
embodiment, anthropomorphism, and intellectual property rights for ai creations	computational creativity emerging branch artificial intelligence ai concerned algorithms create novel high-quality ideas artifacts either autonomously semi-autonomously collaboration people quite simply algorithms may described artificial innovation engines technologies raise questions authorship/inventorship agency become muddled social context induced ai may physically-embodied anthropomorphized questions fundamentally intertwined provision appropriate incentives conducting commercializing computational creativity research intellectual property regimes paper reviews current understanding intellectual property rights ai explores possible framings intellectual property policy social context	positive
partially generative neural networks for gang crime classification with partial information	1 million homicides robberies aggravated assaults occur united states year crimes often classified different types based circumstances surrounding crime e.g. domestic violence gang-related despite recent technological advances ai machine learning additional classification tasks still done manually specially trained police officers paper provide first attempt develop automatic system classifying crimes particular study question classifying whether given violent crime gang-related introduce novel partially generative neural networks pgnn able accurately classify gang-related crimes full information available partial information pgnn first generative-classification model enables work features test examples missing using crime event dataset los angeles covering 2014-2016 experimentally show pgnn outperforms typically used classifiers problem classifying gang-related violent crimes	positive
detecting bias in black-box models using transparent model distillation	dissertation research grounded field interpretability aim develop methods explain interpret predictions black-box machine learning models help creators well users machine learning models increase trust understanding models doctoral consortium paper summarize previous current research projects interpretability describe future plans research area	negative
designing non-greedy reinforcement learning agents with diminishing reward shaping	paper intends address issue rl agents possessing varying capabilities resources may acquired stronger agents leaving weaker ones `` starving '' introduce simple method train non-greedy agents multi-agent reinforcement learning scenarios nearly extra cost model achieve following goals designing non-greedy agent non-homogeneous equality need local information cost-effective generalizable configurable propose idea diminishing reward makes agent feel less satisfied consecutive rewards obtained idea allows agents behave less greedy with-out need explicitly coding ethical pattern monitor agents status given framework resources distributed equally without running risk reaching homogeneous equality designed two games gathering game hunter prey evaluate quality model	positive
the dark side of ethical robots	concerns risks associated advances artificial intelligence prompted calls greater efforts toward robust beneficial ai including machine ethics recently roboticists responded initiating development so-called ethical robots robots would ideally evaluate consequences actions morally justify choices emerging field promises develop extensively next years however paper point inherent limitation emerging field ethical robots show building ethical robots also inevitably enables construction unethical robots three experiments show remarkably easy modify ethical robot behaves competitively even aggressively reason cognitive machinery required make ethical robot always corrupted make unethical robots discuss implications finding governance ethical robots conclude risks unscrupulous actors might compromise robot 's ethics great raise serious doubts wisdom embedding ethical decision making real-world safety-critical robots driverless cars	positive
