,conference_year,category,title,author,abstract,download_url,keywords,8
0,2002,Contents,AAAI Organization,,Organization of AAAI in 2002.,https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-182.pdf,,29
1,2002,Contents,Program Committee,,Program committee of AAAI-02.,https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-183.pdf,,29
2,2002,Contents,,Outstanding Paper Award,Outstanding paper from the AAAI-02 conference.,https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-184.pdf,,46
3,2002,Contents,Sponsors,,Sponsors of AAAI-02.,https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-185.pdf,,20
4,2002,Contents,Preface,,Preface to the AAAI-02 / IAAI-02 proceedings.,https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-186.pdf,,45
5,2002,Contents,Invited Talks,,Abstracts of the AAAI-02 invited talks and panels.,https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-187.pdf,,50
6,2002,Constraint Satisfaction,The Yard Allocation Problem,"Ping Chen, Zhaohui Fu, and Andrew Lim, National University of Singapore","The Yard Allocation Problem (YAP) is a real-life resource allocation problem faced by the Port of Singapore Authority (PSA). We first show that YAP is NP-Hard. As the problem is NP-Hard, we propose several heuristics, including Tabu Search methods with short and long term memory, a ""Squeaky Wheel"" Optimization (SWO) method, and a new hybrid which combines SWO with TS to solve the problem. Extensive experiments show very favorable results for our new hybrid method.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-001.pdf,,468
7,2002,Constraint Satisfaction,Integrating Local Search and Network Flow to Solve the Inventory Routing Problem,"Hoong Chuin Lau, National University of Singapore; Qizhang Liu, ASPrecise Pte Ltd; Hirotaka Ono, Kyushu University","The inventory routing problem is one of important and practical problems in logistics. It involves the integration of inventory management and vehicle routing, both of which are known to be NP-hard. In this paper, we combine local search and network flows to solve the inventory management problem, by utilizing the minimum cost flow sub-solutions as a guiding measure for local search. We then integrate with a standard VRPTW solver to present experimental results for the overall inventory routing problem, based on instances extended from the Solomon benchmark problems.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-002.pdf,,573
8,2002,Constraint Satisfaction,Generating Random Solutions for Constraint Satisfaction Problems,"Rina Dechter and Kalev Kask, University of California, Irvine; Eyal Bin and Roy Emek, IBM Research Laboratory in Haifa","The paper presents a method for generating solutions of a constraint satisfaction problem (CSP) uniformly at random. The main idea is to transform the constraint network into a belief network that expresses a uniform random distribution over its set of solutions and then use known sampling algorithms over belief networks. The motivation for this tasks comes from hardware verification. Random test program generation for hardware verification can be modeled and performed through CSP techniques, and is an application in which uniform random solution sampling is required.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-003.pdf,,574
9,2002,Constraint Satisfaction,Graph Coloring with Quantum Heuristics,"Alex Fabrikant, University of California, Berkeley; Tad Hogg, HP Labs","We present a quantum computer heuristic search algorithm for graph coloring. This algorithm uses a new quantum operator, appropriate for nonbinary-valued constraint satisfaction problems, and information available in partial colorings. We evaluate the algorithm empirically with small graphs near a phase transition in search performance. It improves on two prior quantum algorithms: unstructured search and a heuristic applied to the satisfiability (SAT) encoding for graph coloring. An approximate asymptotic analysis suggests polynomial-time cost for hard graph coloring problems, on average.",https://aaai.org/Library/AAAI/2002/../../../Papers/AAAI/2002/AAAI02-004.pdf,,595
