,conference_year,category,title,author,abstract,download_url,keywords
0,1984,AI and Education,An Interactive Computer-Based Tutor for LISP,"Robert G. Farrell, John R. Anderson, Brian J. Reiser",This paper describes an intelligent computer-based tutor for LISP that incorporates some of the Ingredients of good private tutoring. The tutor consists of a problem-solver that generates steps toward a solution and an advisor that compares the problem-solver’s steps to the student’s steps. Our system can interact with students in a number of different problem spaces for algorithm design and coding. The tutor reduces memory demands by displaying relevant contextual information and directs problem-solving by immediately intervening when a student generates an unacceptable partial answer. Initial experiments indicate that our tutor is approximately twice as effective as classroom instruction.,https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-001.pdf,
1,1984,AI and Education,Intention-Based Diagnosis of Programming Errors,Elliot Soloway,"PROUST is a system which identifies the non-syntactic bugs in novices’ programs and provides novices with help as to the misconceptions under which they were laboring that caused the bugs. In this paper we will discuss the methods which PROUST uses to identify and diagnose non-syntactic bugs. Key in this enterprise is PROUST’s ability to cope with the significant variability exhibited by novices’ programs: novice programs are designed and implemented in a variety of different ways, and usually have numerous bugs. We argue that diagnostic techniques that attempt to reason from faulty behavior to bugs are not effective in the face of such variability. Rather, PROUST'S approach is to construct a causal model of the programmer’s intentions and their realization (or non-realization) in the code. This model serves as a framework for bug recognition, and allows PROUST to reason about the consequences of the programmer’s decisions in order to determine where errors were committed and why.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-002.pdf,
2,1984,AI and Education,Context-Dependent Transitions in Tutoring Discourse,David D. McDonald,"Successful machine tutoring, like other forms of human-machine discourse, requires sophisticated communication skills and a deep understanding of the student’s knowledge. A system must have the ability to reason about a student’s knowledge and to assess the effect of the discourse on him. In this paper we describe Meno-tutor, a LISP program that deliberately plans the rhetorical structure of its output and customizes its responses to the level of understanding of the individual student.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-003.pdf,
3,1984,AI Architectures and Languages,Hardware and Software Architectures for Efficient Al,Michael F. Deering,"With recent advances in AI technology, there has been increased interest in improving AI computational throughput and reducing cost, as evidenced by a number of current projects. To obtain maximum benefit from these efforts, it is necessary to scrutinize possible efficiency improvements at every level, both hardware and software. Custom AI machines, better AI language compilers, and massively parallel machines can all contribute to efficient AI computations. However, little information is available concerning how to achieve these efficiencies. A systematic study was undertaken to fill this gap. This paper describes the main results of that study, and points out specific improvements that can be made. The areas covered include: AI language semantics, AI language compilers, machine instruction set design, parallelism, and important functional candidates for VLSI implementation such as matching, associative memories, and signal to symbol processing for vision and speech.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-004.pdf,
4,1984,AI Architectures and Languages,Syntax Programming,Stefan Feyock,"This paper describes a new programming technology that is to syntax analysis as formal logic is to logic programming, and which we have accordingly named syntax programming. The table-driven nature of bottom-up parsers provides this approach with a number of attractive features, among which are compactness, portability, and introspective capability. Syntax programming has been success- fully used for a number of applications, including expert system construction and robot control as well as non-AI problems.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-005.pdf,
5,1984,AI Architectures and Languages,Initial Assessment of Architectures for Production Systems,"Anoop Gupta, Allen Newell, Robert Wedig","Although production systems are appropriate for many applications in the artificial intelligence and expert systems areas, there are applications for which they are not fast enough to be used. If they are to be used for very large problems with severe time constraints, speed increases are essential. Recognizing that substantial further increases are not likely to be achieved through software techniques, the PSM project has begun investigating the use of hardware support for production system interpreters. The first task undertaken in the project was to attempt to understand the space of architectural possibilities and the trade-offs involved. This articlc presents the initial findings of the project. Briefly, the preliminary results indicate that the most attractive architecture for production systems is a machine containing a small number of very simple and very fast processors.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-006.pdf,
6,1984,AI Architectures and Languages,Five Parallel Algorithms for Production System Execution on the DADO Machine,Salvatore J. Stolfo,"In this paper we specify five abstract algorithms for the parallel execution of production systems on the DAD0 machine. Each algorithm is designed to capture the inherent parallelism in a variety of different production system programs. Ongoing research aims to substantiate our conclusions by empirically evaluating the performance of each algorithm on the DAD02 prototype, presently under construction at Columbia University.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-007.pdf,
7,1984,Automated Reasoning,Generalization Heuristics for Theorems Related to Recursively Defined Functions,"S. Kamal Abdali, Jan Vytopil","This paper is concerned with the problem of generalizing theorems about recursively defined functions, so as to make these theorems amenable to proof by induction. Some generalization heuristics are presented for certain special forms of theorems about functions specified by certain recursive schemas. The heuristics are based upon the analysis of computational sequences associated with the schemas. If applicable, the heuristics produce generalizations that are guaranteed to be theorems.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-008.pdf,
8,1984,Automated Reasoning,A Self-Modifying Theorem Prover,Cynthia A. Brown,"Theorem provers can be viewed as containing declarative knowledge (in the form of axioms and lemmas) and procedural knowledge (in the form of an algorithm for proving theorems). Sometimes, as in the case of commutative laws in a Knuth-Bendix prover, it is appropriate or necessary to transfer knowledge from one category to the other. We describe a theorem proving system that independently recognizes opportunities for such transfers and performs them dynamically.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-009.pdf,
9,1984,Automated Reasoning,Focusing in Plan Recognition,"Norman F. Carver, Victor R. Lesser, Daniel L. McCue","A plan recognition architecture is presented which exploits application-specific heuristic knowledge to quickly focus the search to a small set of plausible plan interpretations from the very large set of possible interpretations. The heuristic knowledge is formalized for use in a truth maintenance system where interpretation assumptions and their heuristic justifications are recorded. By formalizing this knowledge, the system is able to reason about the assumptions behind the current state of the interpretations. This makes intelligent backtracking and error detection possible.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-010.pdf,
10,1984,Automated Reasoning,A Forward Inference Engine to Aid in Understanding Specifications,Donald Cohen,"An important part of understanding a specification is recognizing the consequences of what is stated. We describe a program that can help a user acquire this understanding. It does this by deriving interesting, though not deep consequences of a set of input axioms, while avoiding (a typically much larger set of) uninteresting consequences. The heuristics for obtaining that effect are described and justified. The program has been used in a symbolic evaluator that helps a user to understand and debug specifications written in the Gist specification language.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-011.pdf,
11,1984,Automated Reasoning,Towards a Better Understanding of Bidirectional Search,"Henry W. Davis, Randy B. Pollack, Thomas Sudkamp","Three admissible bidirectional search algorithms have been described in the literature: A Cartesian product approach due to Doran, Pohl’s BHPA, and Champeaux and Sint’s BHFFA2. This paper describes an algorithm, GP, which contains the latter two and others. New admissibility results are obtained. A first order analysis is made comparing the run times of Cartesian product search, two versions of GP, and unidirectional A . The goal is to gain insight on when bidirectional search is useful and direction for seeking better bidirectional search algorithms.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-012.pdf,
12,1984,Automated Reasoning,Choices Without Backtracking,Johan de Kleer,"Artificial Intelligence problem solvers are frequently confronted with the necessity to make choices among equally plausible alternatives. These may concern the choice of which goal to try to achieve next, which priority to assign to a task or which plausible inference to draw from incomplete data. Choices can be wrong: later problem solving may determine that an earlier choice was incorrect. In such cases most problem solvers invoke some form of backtracking to undo the faulty choice, retract the inferences that were made from that choice and make some other choice. This paper discusses a method of dealing with choice that does not involve any backtracking yet explores no more alternatives than the best backtracking schemes. It has an additional advantage over backtracking schemes that it is possible to easily compare two alternative incompatible choices - this cannot be done in backtracking schemes because of their necessity of requiring a globally consistent set of assertions.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-013.pdf,
13,1984,Automated Reasoning,Qualitative Reasoning With Higher-Order Derivatives,"Johan de Kleer, Daniel G. Bobrow","The goals of qualitative physics are to identify the distinctions and laws which govern qualitative behavior of devices such that it is possible to predict and explain the behavior of physical devices without recourse to quantitative methods. Although qualitative analysis lacks quantitative information, it predicts significant characteristics of device functioning such as feedback, ringing oscillation, etc. This paper defines higher-order qualitative derivatives and uses them to formulate six fundamental laws which govern the gross-time behavior of physical devices. These qualitative laws are based on the Mean Value Theorem and Taylor’s Expansion of the quantitative calculus. They substitute for what often requires sophisticated problem-solving. We claim they are the best that can be achieved relying on qualitative information.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-014.pdf,
14,1984,Automated Reasoning,A Theory of Action for MultiAgent Planning,Michael Georgeff,"A theory of action suitable for reasoning about events in multiagent or dynamically changing environments is presented. A device called a process model is used to represent the observable behavior of an agent in performing an action. This model is more general than previous models of action, allowing sequencing, selection, nondeterminism, iteration, and parallelism to be represented. It is shown how this model can be utilized in synthesizing plans and reasoning about concurrency. In particular, conditions are derived for determining whether or not concurrent actions are free from mutual interference. It is also indicated how this theory provides a basis for understanding and reasoning about action sentences in both natural and programming languages.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-015.pdf,
15,1984,Automated Reasoning,Non-Monotonic Reasoning Using Dempster’s Rule,Matthew L. Ginsberg,"Rich’s suggestion that the arcs of semantic nets be labelled so as to reflect confidence in the properties they represent is investigated in greater detail. If these confidences are thought of as ranges of acceptable probabilities, existing statistical methods can be used effectively to combine them. The framework developed also seems to be a natural one in which to describe higher levels of deduction, such as ""reasoning about reasoning.""",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-016.pdf,
16,1984,Automated Reasoning,Diagnosing Circuits With State: An Inherently Underconstrained Problem,"Walter Hamscher, Randall Davis","""Hard problems"" can be hard because they are computationally intractable, or because they are underconstrained. Here we describe candidate generation for digital devices with state, a fault localization problem that is intractable when the devices are described at low levels of abstraction, and is underconstrained when described at higher levels of abstraction. Previous work [l] has shown that a fault in a combinatorial digital circuit can be localized using a constraint-based representation of structure and behavior. ln this paper we (1) extend this representation to model a circuit with state by choosing a time granularity and vocabulary of signals appropriate to that circuit; (2) demonstrate that the same candidate generation procedure that works for combinatorial circuits becomes indiscriminate when applied to a state circuit modeled in that extended representation;(3) show how the common technique of single-stepping can be viewed as a divide-and-conquer approach to overcoming that lack of constraint; and (4) illustrate how using structural detail can help to make the candidate generator discriminating once again, but only at great cost.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-017.pdf,
17,1984,Automated Reasoning,Meta-Level Control Through Fault Detection and Diagnosis,"Eva Hudlicka, Victor R. Lesser","Control strategies in most complex problem-solving systems, though highly parameterized, are not adaptive to the characteristics of the particular task being solved. If the characteristics of the task are atypical, a fixed control strategy may cause incorrect or inefficient processing. We present an approach for adapting the control strategy by introducing a meta-level control component into the problem-solving architecture. This meta-level control component is based on the paradigm of Fault Detection/Diagnosis. Our presentation will concentrate on modeling the problem-solving system and on the inference techniques necessary to use this model for diagnosis. We feel that meta-level control based on the Fault Detection/Diagnosis paradigm represents a new approach to introducing more sophisticated control into a problem- solving system.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-018.pdf,
18,1984,Automated Reasoning,A General Bottom-up Procedure for Searching And/Or Graphs,Vipin Kumar,"This paper summarizes work on a general bottom- up procedure for searching AND/OR graphs which includes a number of procedures for searching AND/OR graphs, state-space graphs, and dynamic programming procedures as its special cases. The paper concludes with comments on the significance of this work in the context of the author’s unified approach to search procedures.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-019.pdf,
19,1984,Automated Reasoning,How to Cope With Anomalies in Parallel Approximate Branch-and-Bound Algorithms,"Guo-jie Li, Benjamin W. Wah","A genera! technique for solving a wide variety of search problems is the branch-and-bound (B&B) algorithm. We have adapted and extended B&B algorithms for parallel processing. Anomalies owing to parallelism may occur. In this paper sufficient conditions to guarantee that parallelism will not degrade the performance are presented. Necessary conditions for allowing parallelism to have a speedup greater than the number of processors are also shown. Anomalies are found to occur infrequently when optimal solutions are sought; however, they are frequent in approximate B&B algorithms. Theoretical analysis and simulations show that a best-first search is robust for parallel processing.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-020.pdf,
20,1984,Automated Reasoning,D-Node Retargeting in Bidirectional Heuristic Search,"George Politowski, Ira Pohl","AIthough it is generally agreed that bidirectional heuristic search is potentially more efficient than unidirectional heuristic search, so far there have been no algorithms which realize this potential. The basic difficulty is that the two search trees (one rooted at the start, the other at the goal) do not meet in the middle. This results in essentially two unidirectional starches and poorer performance. In this paper we present an efficient algorithm for bidirectional heuristic search which overcomes this difficulty. We also compare this algorithm with de Champeaux’s BHFFA (2,3) on the basis of search efficiency, solution quality, and computational cost.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-021.pdf,
21,1984,Automated Reasoning,Qualitative Modeling in the Turbojet Engine Domain,Raman Rajagopalan,This paper addresses some of the issues involved in modeling the domain of turbojet engine operation. A causal model based on the relationships between engine parameters has been developed and used to implement an engine simulation. The implementation includes a facility for explaining the results of the simulation.,https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-022.pdf,
22,1984,Automated Reasoning,Knowledge Inversion,"Yoav Shoham, Drew V. McDermott","We define the direction of knowledge, and what it means to extend that direction. A special case is function inversion, and we give three algorithms for function inversion. Their performance on non-trivial problems and their shortcomings are demonstrated. All algorithms are implemented in Prolog.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-023.pdf,
23,1984,Automated Reasoning,A Mechanical Solution of Schubert’s Steamroller by Many-Sorted Resolution,Christoph Walther,"We demonstrate the advantage of using a many-sorted resolution calculus by a mechanical solution of a challenge problem. This problem known as ""Schubert’s Steamroller"" had been unsolved by automated theorem provers until now. Our solution clearly demonstrates the power of a many-sorted resolution calculus. The proposed method is applicable to all resolution-based inference systems.",https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-024.pdf,
24,1984,Automated Reasoning,The Use of Continuity in a Qualitative Physics,Brian C. Williams,The ability to reason about a series of complex events over time is essential in analyzing physical systems. This paper discusses the role of continuity in qualitative physics and its application in a system for analyzing the behavior of Digital MOS circuits that exhibit analog behavior. The discussion begins with a brief overview of the reasoning steps necessary to perform a qualitative simulation using Temporal Qualitative (TQ) Analysis. The discussion then focuses in on the use of continuity and the relationship between quantities and their higher order derivatives in describing how physical quantities change over time.,https://aaai.org/Library/AAAI/1984/../../../Papers/AAAI/1984/AAAI84-025.pdf,
